CPN,Caspian Airlines
CPT,Corporate Air
CPZ,Compass Airlines
CQH,Spring Airlines
CQN,Chongqing Airlines
CRA,Cronos Airlines
CRC,Camair Co
CRK,Hong Kong Airlines 
CRL,Corsair
CRN,Aerocaribbean
CRQ,Air Creebec
CSA,CSA
CSC,Sichuan Airlines
CSG,Air Caucasus
CSH,Shanghai Airlines
CSJ,Castle Aviation
CSN,China Southern Airlines
CSQ,IBC Airways
CSS,SF Airlines
CSZ,Shenzhen Airlines
CTA,Aero Charter and Transport
CTN,Croatia Airlines
CTV,Citilink
CUA,China United Airlines
CUB,Cubana de Aviacion
CUH,Urumqi Airlines
CUO,Aero Cuahonte
CUT,Court Helicopters
CVA,Air Chathams
CWC,Centurion Cargo
CXA,Xiamen Airlines
CXE,Caicos Express Airways
CXH,China Xinhua Airlines
CXP,Xtra Airways
CXT,Coastal Air
CYL,Alitalia CityLiner
CYP,Cyprus Airways
CYZ,China Postal Airlines
DAE,DHL Aero Expreso
DAH,Air Algerie
DAL,Delta Air Lines
DAN,Dana Airlines
DAO,Daallo Airlines
DAT,Dart Airlines
DBB,Deutsche Bahn
DCS,DC Aviation
DCV,Discovery Airways
DEX,Asian Air
DGX,Dasnair
DHK,DHL Air
DHL,Astar Air Cargo
DHX,DHL Aviation EEMEA
DJT,La Compagnie
DKH,Juneyao Airlines
DKT,Encore Air Cargo
DLA,Air Dolomiti
DLH,Lufthansa
DNJ,Aerodynamics Inc.
DNL,Dutch Antilles Express
DNM,Denim Air
DNU,DOT LT
DNV,Donavia
DQA,Maldivian
DRK,Drukair
DRU,Alrosa Air
DSM,Lan Argentina
DTA,TAAG
DTH,Tassili Airlines
DTR,Danish Air
DTS,Douniah Airlines
DUB,Dubai Air Wing
DVR,Divi Divi Air
DWT,Darwin Airline
DYA,Dynamic Airways
EAA,Air Bishkek
EAB,Eagle Atlantic Airlines
EAG,Eagle Airways
EAK,Euro Asia Air
EAQ,Eastern Australia
ECO,EcoJet
EDW,Edelweiss Air
EFY,EasyFly
EGU,Eagle Air
EHN,East Horizon Airlines
EIA,Evergreen International
EIN,Aer Lingus
EJA,NetJets Aviation
EJM,Executive Jet Management
EKA,Equaflight Service
EKG,Afric Aviation
ELB,Ellinair
ELL,Estonian Air
ELO,EuroLot
ELY,El Al
ENJ,Enerjet
ENT,Enter Air
ENY,Envoy Air
EPA,Donghai Airlines
EPS,Epps Air Service
ERA,Aerotaxis Tucan
ERT,Eritrean Airlines
ESF,Estafeta
ESL,Russian Sky Airlines
ESR,EASTAR JET
ETD,Etihad Airways
ETH,Ethiopian Airlines
ETJ,East Air
ETR,Estelar
EVA,EVA Air
EVE,Evelop Airlines
EVS,EVAS Air Charters
EWG,Eurowings
EWR,EWA Air
EXK,Executive Airlines
EXS,Jet 
EXT,Nightexpress
EXV,FitsAir
EXY,SA Express
EXZ,Fly SAX
EZA,Eznis Airways
EZD,AirAsia Zest
EZE,Eastern Airways
EZS,Easyjet Switzerland
EZY,easyJet
FAB,First Air
FAH,Farnair Hungary
FAO,Falcon Air
FAT,Farnair Switzerland
FCM,Flybe. Nordic
FCV,Nav Air Charter
FCX,Falcon Express Cargo
FDA,Fuji Dream Airlines
FDB,Flydubai
FDR,Federal Air
FDX,FedEx
FDY,Sun Air Express
FEA,Far Eastern Air Transport
FFM,Firefly
FFT,Frontier Airlines
FFV,Fly 
FGE,Fly Georgia
FHY,Freebird Airlines
FIN,Finnair
FIV,CitationAir
FJI,Fiji Airways
FLG,Endeavor Air
FLI,Atlantic Airways
FLX,Flight Express
FLY,I Fly
FNA,Norlandair
FOX,Fly Ghana
FPO,Europe Airpost
FRE,Freedom Air
FRG,Freight Runners Express
FRN,FirstNation Airways
FTA,Frontier Flying Service
FTZ,Fastjet
FWI,Air Caraibes
FWL,Florida West International Airways
FXI,Air Iceland
FXR,Foxair
FXT,FlexFlight
FXX,Felix Airways
FYG,Flying Service
FYN,Comfort Air
FZW,Fly Africa Zimbabwe
GAF,Luftwaffe
GAI,Moskovia Airlines
GAK,Global Aviation Services
GAL,Alianza Glancelot C.A.
GAP,PAL Express
GBG,Global Jet
GBQ,Gambia Bird
GCR,Tianjin Airlines
GDC,Grand China Air
GEC,Lufthansa Cargo 
GES,Gestair
GFA,Gulf Air
GFG,Sky Georgia
GGN,Air Georgian
GHN,Air Ghana
GHT,Ghadames Air
GHY,German Sky Airlines 
GIA,Garuda Indonesia
GIL,Georgian International Airlines
GJS,GoJet Airlines
GLA,Great Lakes Airlines
GLG,AeroGal
GLO,Gol
GLP,Globus
GLR,Central Mountain Air
GMA,Gama Aviation
GMI,Germania
GMQ,Germania Express
GMR,Golden Myanmar Airlines
GMT,Magnicharters
GOW,GoAir
GOZ,Groznyy Avia
GPD,Tradewind Aviation
GRF,Gryphon Airlines
GRL,Air Greenland
GSS,Global Supply Systems
GTA,City Airways
GTI,Atlas Air
GTV,Aerogaviota
GUG,Aviateca Guatemala
GUN,Grant Aviation
GUY,Air Antilles Express
GWI,Germanwings
GZP,Gazpromavia
GZQ,ZagrosJet
HAG,Ravn Connect
HAL,Hawaiian Airlines
HAY,Hamburg Airways
HBH,Hebei Airlines
HCC,Holidays Czech Airlines
HCV,Halcyonair
HDA,Dragonair
HER,Hex Air
HFY,Hi Fly
HHN,Hahn Air
HKA,Superior Aviation
HKE,Hong Kong Express
HKI,Hawkaire
HLI,Heli Securite
HND,Hinterland Aviation
HOP,HOP 
HRM,Hermes Airlines
HSV,Direktflyg
HTA,Helitrans AS
HTG,Grossman Air Service
HTH,Helitt
HVN,Vietnam Airlines
HVY,Heavylift Cargo
HXA,China Express Air
HYD,Hydro Quebec
HYR,Private Sky
IAE,IrAero
IAR,Iliamna Air Taxi
IAW,Iraqi Airways
IBB,Binter Canarias
IBE,Iberia
IBK,Norwegian Air International
IBS,Iberia Express
IBT,Ibertrans Aerea
IBX,IBEX Airlines
ICE,Icelandair
ICL,C.A.L. Cargo Airlines
ICV,Cargolux Italia
IFA,FAI rent a jet
IFL,IFL Group
IFT,Interflight
IGA,Sky Taxi
IGO,IndiGo
IKM,Starbow
ILN,Interair South Africa
IMP,Hellenic Imperial Airways
INC,InselAir
INJ,InterJet Hellenic
INR,INAER
IOS,Isles Of Scilly Skybus
IRA,Iran Air
IRB,Iran Airtour Airline
IRC,Iran Aseman Airlines
IRK,Kish Air
IRM,Mahan Air
IRO,CSA Air
IRQ,Qeshm Air
IRY,Eram Air
ISA,Island Airlines
ISK,InterSky
ISR,Israir Airlines
ISS,Meridiana
ISV,Islena Airlines
IVN,Ivoirienne de Transport Aerien
IWY,interCaribbean Airways
IYE,Yemenia
IZA,Izhavia
IZM,IZAir
JAA,Jet Asia Airways
JAB,Air Bagan
JAC,Japan Air Commuter
JAF,Jetairfly
JAG,Jetalliance Flugbetriebs
JAI,Jet Airways India 
JAL,JAL
JAT,Air Serbia
JAV,Jordan Aviation
JBA,Helijet International
JBR,Central Connect Airlines
JBU,JetBlue Airways
JBW,Jubba Airways Kenya 
JEF,Jetflite
JEX,JAL Express
JIA,PSA Airlines
JJA,Jeju Air
JJP,Jetstar Japan
JLJ,J Air
JLL,JetKonnect
JLX,Jet Link Express
JNA,Jin Air
JNY,Journey Aviation
JOS,DHL de Guatemala
JOY,Joy Air
JSA,Jetstar Asia
JST,Jetstar
JTA,Japan Transocean Air
JTG,Jet Time
JUB,Jubba Airways
JUS,USA Jet Airlines
JZA,Jazz
JZR,Jazeera Airways
KAC,Kuwait Airways
KAI,Kaiser Air
KAL,Korean Air
KAP,Cape Air
KAR,Ikar
KBA,Kenn Borek Air
KBZ,Air KBZ
KCA,Aviatrans K
KDC,KD Air
KDS,Makani Kai Air
KEE,Keystone Air
KEM,CemAir
KEN,Kenmore Air
KFA,Kelowna Flightcraft Air Charter
KFS,Kalitta Charters
KGL,Kolavia
KGO,Korongo Airlines
KGZ,Kyrgyz Airlines
KHK,Kharkiv Airlines
KHO,Aircompany KHORS
KHV,Cambodia Angkor Air
KJA,Kinda Airlines
KKK,Atlasjet
KLC,KLM Cityhopper
KLM,KLM
KMA,Komiaviatrans
KMF,Kam Air
KMI,K Mile Air
KNA,Kunming Airlines
KND,Kan Air
KNE,flynas
KOR,Air Koryo
KPA,Henan Airlines
KQA,Kenya Airways
KRN,Karinou Airlines
KRP,Carpatair
KSM,Kosmos Airlines
KSZ,Sunrise Airways
KTK,Katekavia
KTS,Kotlas Air
KZR,Air Astana
KZS,Kazaviaspas
KZU,ULS Airlines Cargo
LAA,Libyan Airlines
LAE,LANCO
LAL,Air Labrador
LAM,LAM
LAN,LAN Airlines
LAO,Lao Airlines
LAP,TAM
LAU,Lineas Aereas Suramericanas
LAV,AlbaStar
LBQ,Quest Diagnostics
LBT,Nouvelair Tunisie
LBY,Belle Air
LCB,LC Peru
LCG,Lignes Aeriennes Congolaises
LCI,Lao Central Airlines 
LCO,LAN Cargo
LDE,LADE
LER,LASER Airlines
LET,Aerolineas Ejecutivas
LGC,Legacy Air
LGL,Luxair
LGW,LGW
LIA,LIAT
LID,Alidaunia
LIS,Luk Aero
LIZ,Air Liaison
LKE,Lucky Air
LLC,Small Planet Airlines
LLM,Yamal Airlines
LLP,Small Planet Airlines Polska
LLR,Alliance Air
LLY,Let s Fly
LMU,AlMasria
LNE,Lan Ecuador
LNI,Lion Air
LNK,Airlink South Africa 
LNQ,Links Air
LNX,London Executive Aviation
LOF,Trans States Airlines
LOG,Loganair
LOT,LOT Polish Airlines
LPE,Lan Peru
LPV,Air Alps Aviation
LRC,LACSA
LRS,SANSA Regional
LTD,Southern Airways Express
LTM,Thai Lion Air
LTR,Lufttransport
LTU,Air Lituanica
LUR,Atlantis European Airways
LXA,Luxaviation
LXJ,Flexjet
LXP,LanExpress
LYC,Lynden Air Cargo
LYD,LyddAir
LYM,Key Lime Air
LYN,Air Kyrgyzstan
LZB,Bulgaria Air
MAA,MasAir
MAC,Air Arabia Maroc
MAF,Aerolineas MAS
MAI,Mauritania Airlines International
MAL,Morningstar Air Express
MAS,Malaysia Airlines
MAU,Air Mauritius
MAV,Minoan Air
MAX,Max Aviation
MBB,Air Manas
MCJ,Macair Jet
MCM,Heli Air Monaco
MDA,Mandarin Airlines
MDG,Air Madagascar
MDH,Madina Air
MDL,Tigerair Mandala
MDM,Medavia
MDV,Moldavian Airlines
MEA,Middle East Airlines
MEC,Mercury World Cargo
MEG,MEGA Maldives Airlines
MEI,Merlin Airways
MEM,ICAR
MEV,Med View Airlines
MGC,Air Cargo Mongolia
MGL,Miat Mongolian Airlines
MGX,Montenegro Airlines
MHS,Air Memphis
MHV,MHS Aviation
MIH,Massy Airlines
MIX,Midex Airlines
MKG,Air Mekong
MKU,Island Air
MLA, Mile Air
MLD,Air Moldova
MLR,Mihin Lanka
MMA,Myanmar Airways International
MMD,Air Alsie
MML,Hunnu Air
MMZ,euroAtlantic Airways
MNA,Merpati
MNB,MNG Airlines
MNG,Aero Mongolia
MNL,MiniLiner
MNO,Mango
MNT,FlyMontserrat 
MNU,Elite Airways
MON,Monarch Airlines
MOV,VIM Airlines
MPE,Canadian North
MPH,Martinair
MPK,Air Indus
MPX,AeroMexico Cargo
MRA,Martinaire
MRS,Air Marshall Islands
MRW,Mars RK
MSA,Mistral Air
MSC,Air Cairo
MSI,Motor Sich Airlines
MSL,Marsland Aviation
MSR,EgyptAir
MTL,RAF Avia
MTN,Mountain Air Cargo
MUL,Mokulele Airlines
MVI,Harrods Aviation
MWA,Midwest Airlines
MWG,MASwings
MXD,Malindo Air
MYD,Maya Island Air
MYI,MAYAir
MYX,SmartLynx Airlines Estonia
MZA,Sapsan Air
MZS,Mahfooz Aviation
NAC,Northern Air Cargo
NAO,North American Airlines
NAS,NASA
NAX,Norwegian Air Shuttle
NAY,NAYSA
NCA,NCA Nippon Cargo Airlines
NCB,North Cariboo Air
NCH,Chanchangi Airlines
NCR,National Airlines
NCT,NokScoot
NEA,New England Airlines
NEF,Barents AirLink
NFA,Air Norway
NGF,Angel Flight America
NHG,Brava Linhas Aereas
NIA,Nile Air
NIG,Aero
NIN,Niger Airlines
NJE,NetJets Europe
NJS,Cobham Aviation
NKS,Spirit Airlines
NLH,Norwegian Long Haul
NLU,InselAir Aruba
NLV,New Livingston
NLY,NIKI
NMA,Nesma Airlines
NMB,Air Namibia
NMI,Pacific Wings
NOK,Nok Air
NOS,Neos
NOV,Nova Airways
NPT,Atlantic Airlines
NRC,North Sea Airways
NRR,Nature Air
NSE,SATENA
NSO,Aerolineas Sosa
NTH,Hokkaido Air System
NTJ,NextJet 
NVD,JSC Avion Express
NVQ,Novoair
NVR,Novair
NWG,AirWing
NWL,North Wright Airways
NYL,Mid Airlines
NYT,Yeti Airlines
NZM,Mount Cook Airlines
OAE,Omni Air International
OAL,Olympic Air
OAN,Aerospace One
OAW,Helvetic Airways
OBS,Orbest S.A.
OCA,Aserca Airlines
ODM,Pan African Airways
ODS,Odessa Airlines
OEA,Orient Thai Airlines
OHY,Onur Air
OKA,Okay Airways
OLA,Overland Airways
OLS,SOL
OLT,OLT Express Germany
OMA,Oman Air
OMT,CM Airlines
ONE,Avianca Brazil
ONX,Air Onix
OPT,Flight Options
ORB,ORENAIR
ORC,Oriental Air Bridge
OTJ,Ten Airways
OTL,South Airlines
OVA,Aeronova
OZW,Virgin Australia Regional
PAC,Polar Air Cargo
PAG,Perimeter Aviation
PAL,Philippine Airlines
PAO,Polynesian Airlines
PAQ,Pacific Air Express
PAS,PT. Pelita Air
PAU,Palau Airways
PBL,Virgin Samoa
PBN,Virgin Australia NZ 
PBU,Air Burundi
PCM,West Air USA 
PCO,Pacific Coastal Airlines
PCP,PAL Airlines
PDT,Piedmont Airlines
PEN,PenAir
PEV,Peoples Viennaline
PFZ,Proflight Zambia
PGA,Portugalia Airlines
PGT,Pegasus
PHB,Phoebus Apollo Aviation
PIA,Pakistan International Airlines
PIC,Jetstar Pacific
PJS,Jet Aviation
PLM,Pullmantur Air
PLR,Northwestern Air
PNX,AIS Airlines
POE,Porter Airlines
POT,Aircompany Polet
PRF,Precision Air
PRI,Primera Air Scandinavia
PSC,Pascan Aviation
PST,Air Panama
PSV,S.A.P.
PSW,Pskovavia
PTB,Passaredo
PTG,PrivatAir Germany
PTI,PrivatAir Switzerland
PTN,Pantanal Linhas Aereas
PTR,Petra Airlines
PVG,Privilege Style
PVN,Peruvian Airlines
PWA,Priester Aviation
PWD,Pan American Dominicana
PWF,Private Wings
QDA,Qingdao Airlines
QFA,Qantas
QGA,Windrose Air
QNK,Kabo Air
QNZ,Jetconnect
QTR,Qatar Airways
QUE,Gouvernement Du Quebec
QXE,Horizon Air
RAC,Ryukyu Air Commuter
RAE,HOP REGIONAL
RAM,Royal Air Maroc
RAX,Royal Air Charter
RBA,Royal Brunei Airlines
RBG,Air Arabia Egypt
RBY,Vision Airlines
RCH,Air Mobility Command
RCY,Package Express Inc.
REA,Stobart Air
REU,Air Austral
RFJ,Royal Falcon
RFR,Royal Air Force
RGE,Regent Airways
RGN,Cygnus Air
RHC,Redhill Aviation
RIE,Ariella Airlines
RIG,Riga Airlines
RJA,Royal Jordanian
RJD,Rotana Jet
RKA,Polar Airlines
RKM,RAK Airways
RLA,HOP AIRLINAIR
RLB,RUS Aviation
RLK,Air Nelson
RLR,AirNow
RLU,RusLine
RNA,Nepal Airlines
RNE,Island Air Service
RNV,Armavia
RNX, time
ROI,Avior
RON,Our Airline
ROT,TAROM
ROU,Air Canada rouge
RPA,Republic Airlines
RPB,Copa Airlines Colombia
RPK,Royal Airlines
RSC,Canarias Airlines
RSE,SNAS Aviation
RSI,Air Sunshine
RSR,Aero Service
RSY,iFly Airlines
RTM,Trans AM
RUC,Rutaca Airlines
RVF,Ravn Alaska
RVL,Air Vallee
RVP,Aero Vip Portugal 
RWD,RwandAir
RWZ,Red Wings
RXA,Rex Regional Express 
RYA,Ryan Air
RYN,Ryan International Airlines
RYR,Ryanair
RZA,Royal Zimbabwe Airlines
RZO,SATA Internacional
SAA,South African Airways
SAI,Shaheen Air International
SAS,SAS
SAT,SATA Air Acores
SAW,Cham Wings Airlines
SBI,S Airlines
SBM,SkyBahamas
SBS,Seaborne Airlines
SBU,Saint Barth Commuter
SBW,Snowbird Airlines
SCE,Scenic Airlines
SCO,Scoot
SCW,Malmo Aviation
SCX,Sun Country Airlines
SDM,Rossiya Airlines
SEH,Sky Express
SEJ,SpiceJet
SEY,Air Seychelles
SFJ,StarFlyer
SFR,Safair
SFW,Safi Airways
SGB,Sky King
SGD,South East Asian Airlines SEAIR 
SGG,Senegal Airlines
SGN,Nok Mini
SGR,Skygreece Airlines
SGX,Saga Airlines
SHE,Shell Aircraft
SHT,British Airways Shuttle
SHU,Aurora
SHY,Sky Airlines
SIA,Singapore Airlines
SIL,Silver Airways
SIO,Sirio
SIR,Salair
SJO,Spring Airlines Japan
SJY,Sriwijaya Air
SKG,Sky Gabon
SKK,ASKY
SKL,Skycharter
SKP,Skytrans
SKQ,LabCorp
SKU,Sky Airline
SKV,Sky Regional
SKW,SkyWest Airlines
SKY,Skymark Airlines
SLC,SALSA d Haiti
SLI,AeroMexico Connect
SLK,SilkAir
SLL,Skylink Aviation
SLM,Surinam Airways
SLT,Starlight Airlines
SME,Smart Aviation
SMJ,Avient Aviation
SMK,JSC Semeyavia
SMR,Somon Air
SMX,C.A.I. First
SNA,Senator Aviation Charter
SNC,Air Cargo Carriers
SNJ,Solaseed Air
SNM,Servizi Aerei
SOL,Solomon Airlines
SOO,Southern Air
SOV,Saravia
SPM,Air Saint Pierre
SPN,Sepahan Airlines
SPR,Provincial Airlines
SPW,Speedwings
SQC,Singapore Airlines Cargo
SQH,SeaPort Airlines
SQM,Siam Air
SRK,SkyWork Airlines
SRN,Sprint Air
SRQ,Tigerair Philippines
SRU,Star Peru
SRY,Charter Air Transport
SSF,Severstal Aircompany
SSG,Slovak Government Flying Service
SSQ,Sunstate Airlines
STP,STP Airways
SUA,Silesia Air
SUB,Suburban Air Freight
SUD,Sudan Airways
SUF,Fiji Link
SUS,Sun Air
SVA,Saudia
SVR,Ural Airlines
SVW,Global Jet Luxembourg
SWA,Southwest Airlines
SWG,Sunwing
SWM,Skywings Asia
SWN,West Air
SWQ,Swift Air
SWR,SWISS
SWT,Swiftair
SWU,Swiss European Air Lines
SWZ,Skywise
SXD,SunExpress Deutschland
SXS,SunExpress
SYA,Syphax Airlines
SYL,Yakutia
SYR,Syrian Air
TAE,TAME
TAG,TAG Aviation USA
TAH,Air Moorea
TAI,TACA
TAK,Tatarstan Aircompany
TAM,TAM Linhas Aereas
TAN,ZanAir
TAO,Aeromar
TAP,TAP Portugal
TAR,Tunisair
TAX,Thai AirAsia X
TAY,TNT Airways
TBA,Tibet Airlines
TBM,Taban Airlines
TCF,Shuttle America
TCV,TACV
TCW,Thomas Cook Belgium
TCX,Thomas Cook Airlines
TDM,Tandem Aero
TDR,Trade Air
TEZ,Tez Jet
TFL,ArkeFly
TGN,Trigana Air
TGO,Transport Canada
TGU,TAG
TGW,Tigerair Singapore
TGZ,Georgian Airways
THA,Thai Airways International
THD,Thai Smile
THE,Toumai Air
THT,Air Tahiti Nui
THU,Thunder Airlines
THY,Turkish Airlines
TIB,TRIP Linhas Aereas
TJK,Tajik Air
TJS,Tyrolean Jet Service
TJT,Twin Jet
TLB,Atlantique Air Assistance
TLG,InvestAvia
TLK,Starlink Aviation
TMA,TMA Cargo
TMG,Tri MG Intra Asia Airlines
TMN,Tasman Cargo Airlines
TNA,TransAsia Airways
TNM,Tiara Air Aruba
TNO,AeroUnion
TNR,Tanana Air Service
TNT,Trans North Aviation
TNU,TransNusa
TOK,Airlines PNG
TOM,Thomson
TOS,Tropic Air
TOW,AirTanker Services Limited
TPA,Avianca Cargo
TPC,Air Caledonie
TPU,TACA Peru
TQN,Taquan Air
TRA,Transavia
TRQ,Tarco Air
TRS,AirTran
TSC,Air Transat
TSE,Transmile Air Services
TSG,Trans Air Congo
TSO,Transaero Airlines
TST,Trast
TTW,Tigerair Taiwan
TUA,Turkmenistan Airlines
TUD,Yute Air Alaska
TUI,TUIfly
TUP,Aviastar TU
TUS,ABSA
TUX,TunisAir Express
TUY,LTA
TVF,Transavia France
TVL,Travel Service Hungary
TVP,Travel Service Polska
TVQ,Travel Service Slovakia
TVR,Tavrey Air Company
TVS,SmartWings
TWB,T Way Air
TWG,Air Taxi Europe
TWI,Tailwind
TWJ,Twinjet Aviation
TWN,Avialeasing
TXZ,Thai Express
TYA,NordStar Airlines
TYR,Tyrolean Airways
TYW,Tyrol Air Ambulance
UAE,Emirates
UAL,United Airlines
UBA,Myanma Airways
UBD,United Airways BD 
UCA,CommutAir
UCR,Aero Charter
UDN,Dniproavia
UEA,Chengdu Airlines
UGB,Air Uganda
UIA,UNI Air
UJC,Ultimate Jetcharters
UJX,Atlasjet Ukraine
UKM,UM Air
UMK,Yuzmashavia
UNF,Union Flights
UPS,UPS
URG,Air Urga
USC,AirNet
UTA,UTair
UTN,UTair Ukraine
UTX,UTair Express
UTY,Alliance Airlines
UVA,Universal Airways
UZB,Uzbekistan Airways
VAL,Voyageur Airways
VAP,Phuket Air
VAR,VECA
VAS,Atran
VBW,Air Burkina
VCV,Conviasa
VDA,Volga Dnepr
VEC,Vensecar International
VES,Vieques Air Link
VFC,VASCO
VGO,NewGen Airways
VIB,Vibro Air Flugservice
VIL,VI Airlink
VIM,Air Via
